name,price,affiliate_url,category,description,short_description,image,tags,rating,review_count,budget_tier
"Osprey Farpoint 40 Travel Backpack",189.99,"https://www.amazon.com/dp/B014EBMCL4","Luggage & Bags","The Osprey Farpoint 40 is the ultimate carry-on travel backpack. Features a padded laptop sleeve, lockable zippers, and comfortable harness system.","Ultimate carry-on travel backpack","https://m.media-amazon.com/images/I/81QpkIctqPL._AC_SL1500_.jpg","backpack;carry-on;laptop;travel",4.7,8542,mid-range
"Anker PowerCore 26800 Portable Charger",59.99,"https://www.amazon.com/dp/B01JIWQPMW","Electronics","High capacity 26800mAh portable charger with 3 USB ports. Perfect for long trips and multiple devices.","26800mAh power bank with 3 USB ports","https://m.media-amazon.com/images/I/61Tw6rj8TFL._AC_SL1500_.jpg","power bank;charger;usb;portable",4.6,45230,budget
"Bose QuietComfort 45 Headphones",279.00,"https://www.amazon.com/dp/B098FKXT8L","Electronics","Premium noise-cancelling wireless headphones with up to 24 hours battery life. Perfect for flights and travel.","Premium noise-cancelling wireless headphones","https://m.media-amazon.com/images/I/51JbsHSktkL._AC_SL1500_.jpg","headphones;noise-cancelling;wireless;bose",4.5,12890,premium
"Eagle Creek Pack-It Cubes Set",34.95,"https://www.amazon.com/dp/B00F9S8GYE","Travel Accessories","Set of 3 packing cubes in different sizes. Keep your luggage organized and maximize space.","3-piece packing cube set","https://m.media-amazon.com/images/I/81+h9ChMP1L._AC_SL1500_.jpg","packing cubes;organization;luggage",4.8,23456,budget
"Travelon Anti-Theft Classic Backpack",64.99,"https://www.amazon.com/dp/B00MECAKV6","Luggage & Bags","Slash-resistant body and straps, locking compartments, and RFID blocking pocket. Stay safe while traveling.","Anti-theft backpack with RFID blocking","https://m.media-amazon.com/images/I/81IA77AWCHL._AC_SL1500_.jpg","anti-theft;rfid;security;backpack",4.4,5678,mid-range
"Travel Neck Pillow Memory Foam",29.99,"https://www.amazon.com/dp/B01MCRP8UV","Comfort","Premium memory foam neck pillow with adjustable support. Machine washable cover included.","Memory foam travel neck pillow","https://m.media-amazon.com/images/I/71iUwVYMvNL._AC_SL1500_.jpg","neck pillow;comfort;sleep;memory foam",4.3,34521,budget
"Universal Travel Adapter",25.99,"https://www.amazon.com/dp/B01DJ140LQ","Electronics","Works in 150+ countries with 4 USB ports and 1 USB-C port. Compact design for easy packing.","Universal adapter for 150+ countries","https://m.media-amazon.com/images/I/61YX3Q6GOAL._AC_SL1500_.jpg","adapter;universal;usb;international",4.5,18923,budget
"Samsonite Hardside Luggage Set",299.99,"https://www.amazon.com/dp/B07BSRK22L","Luggage & Bags","3-piece hardside spinner luggage set. TSA approved locks, 360-degree wheels, and expandable design.","3-piece hardside spinner luggage set","https://m.media-amazon.com/images/I/71KRZY8cJjL._AC_SL1500_.jpg","luggage;hardside;spinner;samsonite",4.6,7834,premium
"Lifestraw Personal Water Filter",19.95,"https://www.amazon.com/dp/B006QF3TW4","Health & Safety","Filters up to 1000 gallons of water. Removes 99.9% of bacteria and parasites. Essential for adventure travel.","Personal water filter for safe drinking","https://m.media-amazon.com/images/I/61bPTawZCLL._AC_SL1000_.jpg","water filter;safety;outdoor;survival",4.8,67234,budget
"GoPro HERO11 Black",399.99,"https://www.amazon.com/dp/B0B97CM5N4","Photography","5.3K video, 27MP photos, HyperSmooth 5.0 stabilization. Waterproof to 33ft without housing.","5.3K action camera with HyperSmooth","https://m.media-amazon.com/images/I/61p2fYdYP+L._AC_SL1500_.jpg","gopro;camera;action;waterproof;video",4.7,4523,premium
